Pclass,Sex,Age,SibSp,Parch,Fare
3.0,1.0,34.5,0.0,0.0,7.8292
3.0,0.0,47.0,1.0,0.0,7.0
2.0,1.0,62.0,0.0,0.0,9.6875
3.0,1.0,27.0,0.0,0.0,8.6625
3.0,0.0,22.0,1.0,1.0,12.2875
3.0,1.0,14.0,0.0,0.0,9.225
3.0,0.0,30.0,0.0,0.0,7.6292
2.0,1.0,26.0,1.0,1.0,29.0
3.0,0.0,18.0,0.0,0.0,7.2292
3.0,1.0,21.0,2.0,0.0,24.15
3.0,1.0,25.172067883040228,0.0,0.0,7.8958
1.0,1.0,46.0,0.0,0.0,26.0
1.0,0.0,23.0,1.0,0.0,82.2667
2.0,1.0,63.0,1.0,0.0,26.0
1.0,0.0,47.0,1.0,0.0,61.175
2.0,0.0,24.0,1.0,0.0,27.7208
2.0,1.0,35.0,0.0,0.0,12.35
3.0,1.0,21.0,0.0,0.0,7.225
3.0,0.0,27.0,1.0,0.0,7.925
3.0,0.0,45.0,0.0,0.0,7.225
1.0,1.0,55.0,1.0,0.0,59.4
3.0,1.0,9.0,0.0,1.0,3.1708
1.0,0.0,37.68877296688207,0.0,0.0,31.6833
1.0,1.0,21.0,0.0,1.0,61.3792
1.0,0.0,48.0,1.0,3.0,262.375
3.0,1.0,50.0,1.0,0.0,14.5
1.0,0.0,22.0,0.0,1.0,61.9792
3.0,1.0,22.5,0.0,0.0,7.225
1.0,1.0,41.0,0.0,0.0,30.5
3.0,1.0,22.864159444694522,2.0,0.0,21.6792
2.0,1.0,50.0,1.0,0.0,26.0
2.0,1.0,24.0,2.0,0.0,31.5
3.0,0.0,33.0,1.0,2.0,20.575
3.0,0.0,20.911667585523073,1.0,2.0,23.45
1.0,1.0,30.0,1.0,0.0,57.75
3.0,1.0,18.5,0.0,0.0,7.2292
3.0,0.0,23.740157641898453,0.0,0.0,8.05
3.0,0.0,21.0,0.0,0.0,8.6625
3.0,1.0,25.0,0.0,0.0,9.5
3.0,1.0,26.729702755882403,0.0,0.0,56.4958
3.0,1.0,39.0,0.0,1.0,13.4167
1.0,1.0,38.961102553798156,0.0,0.0,26.55
3.0,1.0,41.0,0.0,0.0,7.85
2.0,0.0,30.0,0.0,0.0,13.0
1.0,0.0,45.0,1.0,0.0,52.5542
3.0,1.0,25.0,0.0,0.0,7.925
1.0,1.0,45.0,0.0,0.0,29.7
3.0,1.0,25.1673949784217,0.0,0.0,7.75
1.0,0.0,60.0,0.0,0.0,76.2917
3.0,0.0,36.0,0.0,2.0,15.9
1.0,1.0,24.0,1.0,0.0,60.0
2.0,1.0,27.0,0.0,0.0,15.0333
2.0,0.0,20.0,2.0,1.0,23.0
1.0,0.0,28.0,3.0,2.0,263.0
2.0,1.0,32.013904468614854,0.0,0.0,15.5792
