Survived,Pclass,Sex,Age,SibSp,Parch,Fare
0.0,3.0,1.0,22.0,1.0,0.0,7.25
1.0,1.0,0.0,38.0,1.0,0.0,71.2833
1.0,3.0,0.0,26.0,0.0,0.0,7.925
1.0,1.0,0.0,35.0,1.0,0.0,53.1
0.0,3.0,1.0,35.0,0.0,0.0,8.05
0.0,3.0,1.0,29.08702166076545,0.0,0.0,8.4583
0.0,1.0,1.0,54.0,0.0,0.0,51.8625
0.0,3.0,1.0,2.0,3.0,1.0,21.075
1.0,3.0,0.0,27.0,0.0,2.0,11.1333
1.0,2.0,0.0,14.0,1.0,0.0,30.0708
1.0,3.0,0.0,4.0,1.0,1.0,16.7
1.0,1.0,0.0,58.0,0.0,0.0,26.55
0.0,3.0,1.0,20.0,0.0,0.0,8.05
0.0,3.0,1.0,39.0,1.0,5.0,31.275
0.0,3.0,0.0,14.0,0.0,0.0,7.8542
1.0,2.0,0.0,55.0,0.0,0.0,16.0
0.0,3.0,1.0,2.0,4.0,1.0,29.125
1.0,2.0,1.0,30.422823195932512,0.0,0.0,13.0
0.0,3.0,0.0,31.0,1.0,0.0,18.0
1.0,3.0,0.0,22.74760250252252,0.0,0.0,7.225
0.0,2.0,1.0,35.0,0.0,0.0,26.0
1.0,2.0,1.0,34.0,0.0,0.0,13.0
1.0,3.0,0.0,15.0,0.0,0.0,8.0292
1.0,1.0,1.0,28.0,0.0,0.0,35.5
0.0,3.0,0.0,8.0,3.0,1.0,21.075
1.0,3.0,0.0,38.0,1.0,5.0,31.3875
0.0,3.0,1.0,29.103973159660995,0.0,0.0,7.225
0.0,1.0,1.0,19.0,3.0,2.0,263.0
1.0,3.0,0.0,22.738610634706525,0.0,0.0,7.8792
0.0,3.0,1.0,29.09475312766624,0.0,0.0,7.8958
0.0,1.0,1.0,40.0,0.0,0.0,27.7208
1.0,1.0,0.0,32.460403438761674,1.0,0.0,146.5208
1.0,3.0,0.0,22.740386466748447,0.0,0.0,7.75
0.0,2.0,1.0,66.0,0.0,0.0,10.5
0.0,1.0,1.0,28.0,1.0,0.0,82.1708
0.0,1.0,1.0,42.0,1.0,0.0,52.0
1.0,3.0,1.0,22.7138449637577,0.0,0.0,7.2292
0.0,3.0,1.0,21.0,0.0,0.0,8.05
0.0,3.0,0.0,18.0,2.0,0.0,18.0
1.0,3.0,0.0,14.0,1.0,0.0,11.2417
0.0,3.0,0.0,40.0,1.0,0.0,9.475
0.0,2.0,0.0,27.0,1.0,0.0,21.0
0.0,3.0,1.0,29.09475312766624,0.0,0.0,7.8958
1.0,2.0,0.0,3.0,1.0,2.0,41.5792
1.0,3.0,0.0,19.0,0.0,0.0,7.8792
0.0,3.0,1.0,29.09263367487317,0.0,0.0,8.05
0.0,3.0,1.0,25.041038929564277,1.0,0.0,15.5
1.0,3.0,0.0,22.740386466748447,0.0,0.0,7.75
0.0,3.0,1.0,21.006911114277642,2.0,0.0,21.6792
0.0,3.0,0.0,18.0,1.0,0.0,17.8
0.0,3.0,1.0,7.0,4.0,1.0,39.6875
0.0,3.0,1.0,21.0,0.0,0.0,7.8
1.0,1.0,0.0,49.0,1.0,0.0,76.7292
1.0,2.0,0.0,29.0,1.0,0.0,26.0
0.0,1.0,1.0,65.0,0.0,1.0,61.9792
1.0,1.0,1.0,37.901861417304346,0.0,0.0,35.5
1.0,2.0,0.0,21.0,0.0,0.0,10.5
0.0,3.0,1.0,28.5,0.0,0.0,7.2292
1.0,2.0,0.0,5.0,1.0,2.0,27.75
0.0,3.0,1.0,11.0,5.0,2.0,46.9
0.0,3.0,1.0,22.0,0.0,0.0,7.2292
1.0,1.0,0.0,38.0,0.0,0.0,80.0
0.0,1.0,1.0,45.0,1.0,0.0,83.475
0.0,3.0,1.0,4.0,3.0,2.0,27.9
0.0,1.0,1.0,44.3988556668141,0.0,0.0,27.7208
1.0,3.0,1.0,17.809080394247694,1.0,1.0,15.2458
1.0,2.0,0.0,29.0,0.0,0.0,10.5
0.0,3.0,1.0,19.0,0.0,0.0,8.1583
1.0,3.0,0.0,17.0,4.0,2.0,7.925
0.0,3.0,1.0,26.0,2.0,0.0,8.6625
0.0,2.0,1.0,32.0,0.0,0.0,10.5
0.0,3.0,0.0,16.0,5.0,2.0,46.9
0.0,2.0,1.0,21.0,0.0,0.0,73.5
0.0,3.0,1.0,26.0,1.0,0.0,14.4542
1.0,3.0,1.0,32.0,0.0,0.0,56.4958
0.0,3.0,1.0,25.0,0.0,0.0,7.65
0.0,3.0,1.0,29.09475312766624,0.0,0.0,7.8958
0.0,3.0,1.0,29.09263367487317,0.0,0.0,8.05
1.0,2.0,1.0,0.83,0.0,2.0,29.0
1.0,3.0,0.0,30.0,0.0,0.0,12.475
0.0,3.0,1.0,22.0,0.0,0.0,9.0
1.0,3.0,1.0,29.0,0.0,0.0,9.5
1.0,3.0,0.0,22.73987103562173,0.0,0.0,7.7875
0.0,1.0,1.0,28.0,0.0,0.0,47.1
1.0,2.0,0.0,17.0,0.0,0.0,10.5
